NUTS0_code,process,month,daytype,hour,load
IE,iron_and_steel,5,2,11,114.3110005
IE,iron_and_steel,5,2,12,114.3110005
IE,iron_and_steel,5,2,13,114.3110005
IE,iron_and_steel,5,2,14,114.3110005
IE,iron_and_steel,5,2,15,114.1495396
IE,iron_and_steel,5,2,16,114.028444
IE,iron_and_steel,5,2,17,113.9073483
IE,iron_and_steel,5,2,18,113.9073483
IE,iron_and_steel,5,2,19,113.9073483
IE,iron_and_steel,5,2,20,113.9073483
IE,iron_and_steel,5,2,21,113.9073483
IE,iron_and_steel,5,2,22,113.9073483
IE,iron_and_steel,5,2,23,111.7645536
IE,iron_and_steel,5,2,24,111.7645536
IE,iron_and_steel,6,0,1,112.7929198
IE,iron_and_steel,6,0,2,112.7929198
IE,iron_and_steel,6,0,3,112.7929198
IE,iron_and_steel,6,0,4,112.7929198
IE,iron_and_steel,6,0,5,112.7929198
IE,iron_and_steel,6,0,6,112.7929198
IE,iron_and_steel,6,0,7,115.0776406
IE,iron_and_steel,6,0,8,115.1998505
IE,iron_and_steel,6,0,9,115.362797
IE,iron_and_steel,6,0,10,115.362797
IE,iron_and_steel,6,0,11,115.362797
IE,iron_and_steel,6,0,12,115.362797
IE,iron_and_steel,6,0,13,115.362797
IE,iron_and_steel,6,0,14,115.362797
IE,iron_and_steel,6,0,15,115.1998505
IE,iron_and_steel,6,0,16,115.0776406
IE,iron_and_steel,6,0,17,114.9554308
IE,iron_and_steel,6,0,18,114.9554308
IE,iron_and_steel,6,0,19,114.9554308
IE,iron_and_steel,6,0,20,114.9554308
IE,iron_and_steel,6,0,21,114.9554308
IE,iron_and_steel,6,0,22,114.9554308
IE,iron_and_steel,6,0,23,112.7929198
IE,iron_and_steel,6,0,24,112.7929198
IE,iron_and_steel,6,1,1,112.7929203
IE,iron_and_steel,6,1,2,112.7929203
IE,iron_and_steel,6,1,3,112.7929203
IE,iron_and_steel,6,1,4,112.7929203
IE,iron_and_steel,6,1,5,112.7929203
IE,iron_and_steel,6,1,6,112.7929203
IE,iron_and_steel,6,1,7,115.0776411
IE,iron_and_steel,6,1,8,115.199851
IE,iron_and_steel,6,1,9,115.3627975
IE,iron_and_steel,6,1,10,115.3627975
IE,iron_and_steel,6,1,11,115.3627975
IE,iron_and_steel,6,1,12,115.3627975
IE,iron_and_steel,6,1,13,115.3627975
IE,iron_and_steel,6,1,14,115.3627975
IE,iron_and_steel,6,1,15,115.199851
IE,iron_and_steel,6,1,16,115.0776411
IE,iron_and_steel,6,1,17,114.9554313
IE,iron_and_steel,6,1,18,114.9554313
IE,iron_and_steel,6,1,19,114.9554313
IE,iron_and_steel,6,1,20,114.9554313
IE,iron_and_steel,6,1,21,114.9554313
IE,iron_and_steel,6,1,22,114.9554313
IE,iron_and_steel,6,1,23,112.7929203
IE,iron_and_steel,6,1,24,112.7929203
IE,iron_and_steel,6,2,1,111.9200675
IE,iron_and_steel,6,2,2,111.9200675
IE,iron_and_steel,6,2,3,111.9200675
IE,iron_and_steel,6,2,4,111.9200675
IE,iron_and_steel,6,2,5,111.9200675
IE,iron_and_steel,6,2,6,111.9200675
IE,iron_and_steel,6,2,7,114.1871079
IE,iron_and_steel,6,2,8,114.308372
IE,iron_and_steel,6,2,9,114.4700576
IE,iron_and_steel,6,2,10,114.4700576
IE,iron_and_steel,6,2,11,114.4700576
IE,iron_and_steel,6,2,12,114.4700576
IE,iron_and_steel,6,2,13,114.4700576
IE,iron_and_steel,6,2,14,114.4700576
IE,iron_and_steel,6,2,15,114.308372
IE,iron_and_steel,6,2,16,114.1871079
IE,iron_and_steel,6,2,17,114.0658437
IE,iron_and_steel,6,2,18,114.0658437
IE,iron_and_steel,6,2,19,114.0658437
IE,iron_and_steel,6,2,20,114.0658437
IE,iron_and_steel,6,2,21,114.0658437
IE,iron_and_steel,6,2,22,114.0658437
IE,iron_and_steel,6,2,23,111.9200675
IE,iron_and_steel,6,2,24,111.9200675
